W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,398.7697181,19543.22389,65.07470058,25.50974335,3.900878264,12.54685646,16.39932479,0.564645137,19.54891398,3381494.26,4059416.879,2350188.719,1709228.16,0.1,0.4,0.3,0.4,1580720.174,16040.2163,2408.699777,2420.777115,900.7936917,771.1484776,1250.42281,164.2526649,706.7183471,270.3410525,75.61795894,188.9157389,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3951.800436,713.0075913,891.2594892,453.1702436,2790,29.35358975
350,398.7697181,19125.73747,54.58863971,23.36421189,3.608795572,9.529041257,12.5804183,0.65875266,19.23087557,4315904.278,5181157.597,2999617.556,2181540.041,0.1,0.3,0.3,0.4,1537083.092,15605.75536,2146.900375,2420.777115,688.012523,754.7006595,1572.185456,151.020634,576.0411259,270.3410525,63.43296979,188.9074801,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3842.707731,729.9821129,912.4776411,462.0473401,2790,28.8624502
400,398.7697181,20363.90117,50.86889985,22.55413484,3.49872983,8.528851969,11.30861819,0.752860183,18.86582662,5806734.975,6970870.318,4035767.026,2935103.292,0.1,0.2,0.3,0.4,1828020.491,16809.98502,2193.228273,2420.777115,617.6903694,803.7430394,2078.05689,146.0110163,531.2177825,270.3410525,59.11056595,189.0294508,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4570.051228,763.9161519,954.8951899,465.1137419,2790,30.56778301
350,398.7697181,18889.95406,53.92118839,23.22093633,3.58931912,9.351777376,12.35552585,0.65875266,19.1889818,4263134.031,5117807.96,2962941.45,2154866.509,0.3,0.3,0.1,0.4,1477111.264,15367.59199,2107.956194,2420.777115,675.6560002,745.4728359,1554.124501,150.135164,568.0759889,270.3410525,62.65737949,188.8893629,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3692.778161,732.3620737,915.4525921,466.9657454,2790,28.54583992
400,398.7697181,20008.6471,49.96588587,22.35305032,3.471429435,8.298686227,11.01578927,0.752860183,18.81096403,5703655.04,6847124.898,3964124.941,2882999.957,0.3,0.2,0.1,0.4,1739917.446,16453.15912,2135.541623,2420.777115,600.9255271,789.4749109,2043.321391,144.7662684,520.4274574,270.3410525,58.06124764,189.0006761,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4349.793614,765.4879849,956.8599811,470.9958531,2790,30.09436883
300,398.7697181,19123.56734,63.68766828,25.23641581,3.863628306,12.14216098,15.88906642,0.564645137,19.47765288,3309419.526,3972892.588,2718294.929,1254597.659,0.3,0.3,0.3,0.3,1440618.136,15604.93139,2332.193927,2420.777115,872.6290167,754.711585,1307.114755,162.5697956,689.4274342,270.3410525,74.00620275,188.8869366,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3601.545341,728.6359422,910.7949278,472.6435307,2790,28.80099695
400,398.7697181,20526.94139,51.27445051,22.64386242,3.510914568,8.636757421,11.44603858,0.752860183,18.88985581,5853028.982,7026445.357,4807567.876,2218877.481,0.1,0.2,0.1,0.3,1805868.052,16959.93928,2218.573014,2420.777115,625.2848677,810.1509707,2238.143406,146.5662877,536.08319,270.3410525,59.58182303,189.0391885,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4514.67013,777.0021125,971.2526406,475.8290305,2790,30.74252923
300,398.7697181,18615.57138,61.98008204,24.89579925,3.817223372,11.64311535,15.25897742,0.564645137,19.38946708,3220687.76,3866371.861,2238425.814,1627946.047,0.3,0.4,0.3,0.4,1352686.724,15099.06873,2240.351015,2420.777115,836.9158285,734.4760152,1194.581532,160.4715063,667.8317291,270.3410525,72.02195718,188.855939,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3381.716811,726.5026493,908.1283116,476.0292297,2790,28.14697418
350,398.7697181,19011.72221,54.2658901,23.29504027,3.599392097,9.446298481,12.47561853,0.65875266,19.21018006,4290386.946,5150524.545,3524043.11,1626481.435,0.3,0.2,0.3,0.3,1461061.616,15478.55251,2127.388128,2420.777115,682.2525649,750.2384962,1669.372605,150.5931702,572.2534307,270.3410525,63.05792901,188.8957477,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3652.654041,743.1696942,928.9621178,476.0541736,2790,28.70290356
350,398.7697181,18840.00837,53.77994241,23.19050289,3.585182599,9.317529226,12.31222679,0.65875266,19.17942516,4251966.796,5104401.916,3492485.522,1611916.395,0.1,0.3,0.1,0.3,1417133.167,15303.55505,2099.012087,2420.777115,673.2806888,743.5200453,1655.271511,149.9470486,566.4615645,270.3410525,62.49324915,188.8895406,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3542.832917,746.4533156,933.0666444,481.1335367,2790,28.46504205
