W_S,AR,lambda,t_c,W_S_max,WTO,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,V_batt,S,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
350,11,0.5,0.3,447.0636286,12136.09367,0.658505318,15.50261956,2738712.385,3287769.97,1903445.772,1384324.198,0.1,0.1,0.1,0.4,2041454.56,2.916363657,34.6399211,9049.628397,692.5395009,2420.777115,486.3244243,478.9020294,1026.219883,127.1759123,387.7661252,270.3410525,40.25220413,188.6019168,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5103.636399,296.4652699,370.5815874,114.5636424,2790,20.59117106
350,11,0.6,0.3,447.0636286,12163.91256,0.658505318,15.45898903,2744880.661,3295174.863,1907732.816,1387442.048,0.1,0.1,0.1,0.4,2053351.639,2.933359484,34.717939,9075.930261,713.4418962,2420.777115,487.4197504,479.9806499,1028.384795,127.3127467,388.5935008,270.3410525,40.34286232,188.6076591,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5133.379098,297.9822959,372.4778699,114.8216688,2790,20.6445318
350,9,0.4,0.2,447.0636286,12176.4562,0.658505318,16.86985723,2747619.168,3298462.386,1909636.118,1388826.268,0.1,0.1,0.1,0.4,1867285.142,2.667550204,34.75257632,9091.170441,738.0322138,2420.777115,487.9060383,480.4595212,1029.345852,115.7233804,388.9608276,270.3410525,40.3831115,188.5130953,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4668.212856,295.2857621,369.1072027,114.9362239,2790,20.26828041
300,11,0.4,0.2,447.0636286,12520.18049,0.56443313,18.10270019,2164912.834,2598934.974,1504646.564,1094288.41,0.1,0.1,0.3,0.4,1741803.555,2.488290793,41.66236687,9453.95456,1091.990981,2420.777115,584.9154945,493.7044889,823.4692932,138.9071847,462.2387784,270.3410525,48.41241095,188.4695277,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4354.508887,276.2259304,345.282413,115.0459032,2790,20.50901952
350,9,0.5,0.2,447.0636286,12211.32587,0.658505318,16.84408826,2755341.983,3307733.473,1915003.589,1392729.883,0.1,0.1,0.1,0.4,1876258.602,2.680369431,34.85025642,9124.72826,764.8489549,2420.777115,489.2774103,481.8099775,1032.055812,115.8787442,389.9967197,270.3410525,40.49661751,188.5176227,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4690.646504,296.5976153,370.7470191,115.2592785,2790,20.32536104
300,11,0.5,0.2,447.0636286,12575.15288,0.56443313,18.08704812,2174173.452,2610052.164,1511082.832,1098969.332,0.1,0.1,0.3,0.4,1751414.577,2.502020824,41.84058157,9507.382413,1135.123294,2420.777115,587.4175257,495.8163798,826.7650172,139.1908904,464.1287356,270.3410525,48.6194996,188.4746693,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4378.536442,277.7704707,347.2130883,115.5380229,2790,20.59119469
350,9,0.6,0.2,447.0636286,12242.67244,0.658505318,16.79329438,2762280.619,3316063.169,1919826.045,1396237.124,0.1,0.1,0.1,0.4,1888237.01,2.697481443,34.93801804,9154.479573,788.5425141,2420.777115,490.5095326,483.023308,1034.490224,116.0181385,390.9274269,270.3410525,40.59859807,188.5234301,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4720.592525,298.1928696,372.7410869,115.5495301,2790,20.38330326
300,11,0.6,0.2,447.0636286,12624.37083,0.56443313,18.04539631,2182455.43,2619994.514,1516838.929,1103155.585,0.1,0.1,0.3,0.4,1763506.919,2.519295599,41.99996296,9554.845979,1173.37903,2420.777115,589.655148,497.7050911,829.711738,139.4440809,465.8189665,270.3410525,48.80470361,188.4808192,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4408.767298,279.5248507,349.4060634,115.9781366,2790,20.67070527
350,10,0.4,0.2,447.0636286,12331.33282,0.658505318,17.58373484,2781880.542,3339592.487,1933448.282,1406144.205,0.1,0.1,0.1,0.4,1794451.267,2.563501809,35.18592277,9252.456714,863.4545702,2420.777115,493.9899714,486.4506651,1041.364914,122.4237727,393.556443,270.3410525,40.88666778,188.483309,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4486.128166,288.8761071,361.0951338,116.3694185,2790,20.32985413
350,10,0.5,0.2,447.0636286,12373.5813,0.658505318,17.55831441,2791207.65,3350789.496,1939930.761,1410858.735,0.1,0.1,0.1,0.4,1803929.416,2.577042023,35.30389438,9293.265279,896.1163258,2420.777115,495.6462244,488.0816581,1044.635416,122.6198027,394.8075255,270.3410525,41.02375288,188.4881736,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4509.82354,290.3160222,362.8950277,116.7595827,2790,20.39660517
