W_S,AR,lambda,t_c,W_S_max,WTO,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,S,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload
300,9,0.4,0.1,447.063628623853,13940.7326976695,0.564433129961166,18.7814974147704,2412314.05227731,2895935.2368275,1981429.37256618,914505.864261315,0.3,0.5,0.1,0.3,515787.317361738,46.4234455482414,10488.8780516473,1806.24160125399,2420.77711531044,651.758280929225,550.124586041555,970.790358734505,132.901470318205,512.729757400567,270.34105252,53.944869017964,188.540727072221,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,1289.46829340434,661.854646022211,827.318307527764,465.986780671814,2790
300,9,0.4,0.1,447.063628623853,13995.4662833614,0.564433129961166,18.8013371867932,2421688.25099044,2907188.77669921,1989129.16300472,918059.613694487,0.3,0.5,0.3,0.3,387856.153825832,46.6038460243348,10507.6371173193,1814.41170692692,2420.77711531044,654.290999101884,552.26238429491,974.336398042623,133.148084561422,514.642894581919,270.34105252,54.1544975782467,188.543751352275,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,969.64038456458,697.829166042111,872.286457552639,500.166528037051,2790
300,9,0.4,0.1,447.063628623853,13247.7153889412,0.564433129961166,18.5156449914199,2291406.36270151,2750787.95042198,1592561.44498114,1158226.50544083,0.1,0.1,0.1,0.4,1907733.75793038,44.0966541679537,10186.5249214186,1697.14678436126,2420.77711531044,619.091477933714,522.551447892704,868.414650549373,129.674689796522,488.054262084399,270.34105252,51.241096069631,188.504111851909,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,4769.33439482596,271.190467522641,338.988084403301,95.8522919703719,2790
300,9,0.4,0.1,447.063628623853,13289.2494798268,0.564433129961166,18.5317356528538,2298483.72893649,2759284.18839915,1597480.31959951,1161803.86879964,0.1,0.1,0.3,0.4,1809295.2832385,44.2328535677477,10200.403945816,1703.19317582473,2420.77711531044,621.003638602208,524.165448495328,870.924880511478,129.865984512716,489.498649269324,270.34105252,51.3993621934709,188.5064055277,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,4523.23820809626,298.845534010758,373.556917513447,122.144010852322,2790
300,9,0.4,0.1,447.063628623853,13347.1343187317,0.564433129961166,18.5540373853783,2308342.76289041,2771119.76337384,1604332.49458486,1166787.26878899,0.1,0.2,0.1,0.4,1668761.02357365,44.4225843888594,10219.7429281089,1711.62229289464,2420.77711531044,623.667349413561,526.413811457852,874.420952632076,130.131953388963,491.510734249241,270.34105252,51.6198327805347,188.509600412908,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,4171.90255893412,337.391390622887,421.739238278609,158.788808650848,2790
300,9,0.4,0.1,447.063628623853,13389.2781026799,0.564433129961166,18.5701847415793,2315517.44179204,2779732.82327976,1609319.00295144,1170413.82032832,0.1,0.2,0.3,0.4,1568845.85237555,44.5606565088645,10233.8200423173,1717.76094545429,2420.77711531044,625.605801988892,528.050004596523,876.964574257491,130.325133369515,492.974981529569,270.34105252,51.780275038552,188.511925203414,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3922.11463093889,365.458060362544,456.82257545318,185.470662341913,2790
300,9,0.4,0.1,447.063628623853,13448.0146038692,0.564433129961166,18.5925645277489,2325512.20619573,2791731.33997087,1616265.51261471,1175465.82735615,0.1,0.3,0.1,0.4,1426234.16432462,44.7529993759237,10253.4353770762,1726.31882582669,2420.77711531044,628.306184412106,530.329321426395,880.507208297229,130.593724769221,495.014767113883,270.34105252,52.0037808694423,188.515163482132,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3565.58541081155,404.579226793035,505.724033491294,222.660777680816,2790
300,9,0.4,0.1,447.063628623853,13490.7798636618,0.564433129961166,18.608768011577,2332785.78178907,2800463.12339625,1621320.75565046,1179142.36774579,0.1,0.3,0.3,0.4,1324811.46367443,44.892974699692,10267.7138916247,1732.55135561336,2420.77711531044,630.271356865688,531.988068351399,883.084747114221,130.78881046419,496.49919776602,270.34105252,52.1664346840667,188.517519886688,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3312.02865918608,433.065972037089,541.332465046361,249.740818147793,2790
300,9,0.4,0.1,447.063628623853,13550.3844852327,0.564433129961166,18.631225044375,2342918.48271551,2812627.23015067,1628363.13324512,1184264.09690554,0.1,0.4,0.1,0.4,1180079.05536587,45.0879720671662,10287.6101894455,1741.24025060816,2420.77711531044,633.009006936892,534.29884216236,886.674674638558,131.060052692599,498.567134182037,270.34105252,52.3930250916294,188.520802254205,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2950.19763841468,472.774295787179,590.967869733973,287.487511174239,2790
300,9,0.4,0.1,447.063628623853,13593.7832297149,0.564433129961166,18.6474840563394,2350292.5599715,2821479.66383133,1633488.22642867,1187991.43740267,0.1,0.4,0.3,0.4,1077117.31706296,45.22988148134,10302.0934586448,1747.56829587727,2420.77711531044,635.001332899288,535.980508901128,889.286662631795,131.2570645669,500.072075757132,270.34105252,52.5579263536882,188.523190778549,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2692.79329265739,501.689771070062,627.112213837577,314.973964159561,2790
