W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,CO2
350,398.7697181,19896.3455,56.79794751,23.83231997,3.751594491,11.3595895,17.03938425,0.65875266,0.03423213,0.020114368,0.014117763,19.2436946,4490577.269,5390849.062,3688475.674,1702373.388,0.3,0.2,0.1,0.3,1759657.56,16390.91476,2277.817341,2040.943527,886.0114202,785.2453898,1742.74544,153.9119731,649.0665703,4399.143901,715.4307378,894.2884223,438.2447004,2790,29.89012558,1749.013432,879.8287802,562.8261473,1384.853253
300,398.7697181,19071.59752,63.49634155,25.19848042,3.93650079,12.69926831,19.04890247,0.564645137,0.029058958,0.018686724,0.010372234,19.43101835,3299477.563,3960957.459,2293185.897,1667771.562,0.1,0.4,0.3,0.4,1562410.581,15584.85874,2323.696555,2040.943527,990.5020555,752.4442869,1221.961115,162.3361654,723.2061918,3906.026451,696.7387804,870.9234755,442.1787932,2790,28.78081358,1742.494586,781.2052903,544.0087775,1397.284986
350,398.7697181,18910.16428,53.97170622,23.23181143,3.670467649,10.79434124,16.19151187,0.65875266,0.03458812,0.020470357,0.014117763,19.04563369,4267128.087,5122602.746,2965717.379,2156885.367,0.1,0.3,0.3,0.4,1552079.498,15396.77761,2111.370475,2040.943527,841.9238753,746.1712681,1555.491914,150.2023825,617.7849738,3880.198744,723.386671,904.2333387,456.8255122,2790,28.63651815,1745.40633,776.0397489,546.9844229,1443.568619
350,398.7697181,18687.10993,53.34058646,23.09558106,3.652077469,10.66811729,16.00217594,0.65875266,0.034672398,0.020554636,0.014117763,18.99933936,4217230.297,5062701.437,2931037.674,2131663.763,0.3,0.3,0.1,0.4,1494106.974,15170.95194,2074.712657,2040.943527,832.0788133,737.4457484,1538.403794,149.3602476,610.7995711,3735.267436,726.1579869,907.6974837,461.9376438,2790,28.33672257,1744.85032,747.0534872,543.0534403,1459.722954
300,398.7697181,18695.31024,62.25508768,24.95096946,3.902968304,12.45101754,18.6765263,0.564645137,0.029181423,0.018809189,0.010372234,19.34947222,3234977.953,3883526.954,2657150.021,1226376.933,0.3,0.3,0.3,0.3,1429733.304,15191.96298,2255.843931,2040.943527,971.1392941,737.7349392,1279.41385,160.8114548,709.4676611,3574.333259,713.3472565,891.6840706,462.0119599,2790,28.28415451,1744.950176,714.8666518,536.3915254,1459.957793
300,398.7697181,18250.82894,60.78676896,24.65497292,3.862885228,12.15735379,18.23603069,0.564645137,0.029332261,0.018960028,0.010372234,19.24996947,3158679.31,3791931.945,2195329.021,1596602.924,0.3,0.4,0.3,0.4,1349733.794,14747.13227,2177.531377,2040.943527,948.2344672,720.334796,1173.006792,158.98719,693.2159157,3374.334485,713.6966677,892.1208347,466.8641578,2790,27.7139217,1742.211809,674.866897,529.6826384,1475.290739
350,398.7697181,18801.33776,53.66385935,23.16546122,3.661510145,10.73277187,16.09915781,0.65875266,0.034628998,0.020511236,0.014117763,19.0231508,4242789.001,5093384.155,3484947.054,1608437.102,0.3,0.2,0.3,0.3,1477419.576,15274.74821,2092.825442,2040.943527,837.1216624,741.9151439,1651.902094,149.7922528,614.3776422,3693.548941,736.5895537,920.7369421,470.7727851,2790,28.48380763,1748.599449,738.7097882,543.6774255,1487.642001
350,398.7697181,18638.62849,53.20335964,23.06585347,3.648065166,10.64067193,15.96100789,0.65875266,0.03469097,0.020573207,0.014117763,18.98916834,4206380.827,5049676.864,3455042.065,1594634.799,0.1,0.3,0.1,0.3,1434896.246,15108.49346,2066.052496,2040.943527,829.9381633,735.5485253,1638.53202,149.1764516,609.2807079,3587.240614,740.1350338,925.1687923,475.9752324,2790,28.25791443,1748.637946,717.4481228,540.7821568,1504.081734
350,398.7697181,17862.3655,50.96793809,22.57607984,3.581999301,10.19358762,15.29038143,0.65875266,0.035006597,0.020888834,0.014117763,18.81795778,4029643.222,4837506.87,2800661.872,2036844.998,0.3,0.3,0.3,0.4,1278712.726,14329.78373,1938.467532,2040.943527,795.067026,704.6428287,1474.062602,146.14683,584.5384627,3196.781816,742.5817725,928.2272156,486.965083,2790,27.26258345,1744.595438,639.3563631,528.428611,1538.809662
300,398.7697181,17823.48792,59.33156139,24.35807082,3.822700191,11.86631228,17.79946842,0.564645137,0.029488571,0.019116337,0.010372234,19.14793135,3083061.966,3701154.821,2532369.088,1168785.733,0.1,0.4,0.3,0.3,1206774.593,14302.20867,2099.832128,2040.943527,925.5341658,703.0900383,1222.777587,157.1563757,677.1092881,3016.936482,731.2792524,914.0990655,488.2987936,2790,27.14192872,1744.627919,603.3872964,521.1349243,1543.024188
