W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
350,447.0636286,18148.04586,51.79523741,21.59067245,3.742231028,8.341241103,12.35747756,0.65875266,18.25881338,4095051.423,4916028.119,2846121.542,2069906.576,0.3,0.3,0.3,0.4,1385408.438,14591.0832,1715.072715,2420.777115,643.9397498,716.0806046,1496.515385,140.0425017,544.975237,270.3410525,60.18698666,188.9025268,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3463.521095,766.9626557,958.7033197,494.8693832,2790,27.77773487
300,447.0636286,17834.17555,59.37057176,23.11569047,3.972238715,10.33790773,15.18433758,0.564645137,18.55020804,3085089.072,3703588.322,2144182.713,1559405.609,0.1,0.5,0.3,0.4,1265254.728,14292.84969,1817.796608,2420.777115,793.6295719,703.5523258,1147.371009,149.4845716,638.1827992,270.3410525,68.98965985,188.8599179,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3163.136821,751.3258675,939.1573344,496.6150515,2790,27.29166914
350,447.0636286,18019.07961,51.43066694,21.51455327,3.73076611,8.251943775,12.23085112,0.65875266,18.23580954,4066227.637,4881425.734,2826088.583,2055337.151,0.1,0.4,0.1,0.4,1350647.06,14459.4902,1697.139604,2420.777115,637.3260922,711.0402572,1486.623431,139.5704611,540.6648621,270.3410525,59.76334929,188.8980919,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3376.61765,769.5894118,961.9867647,498.9459393,2790,27.59393867
350,447.0636286,17959.20184,51.2606993,21.47897329,3.725407678,8.213077733,12.17589656,0.65875266,18.22455423,4052789.602,4865293.64,3328885.122,1536408.518,0.1,0.3,0.3,0.3,1289708.005,14386.06934,1688.245086,2420.777115,634.4325592,708.6903802,1582.063782,139.3497924,538.7116936,270.3410525,59.56584388,188.8937843,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,3224.270013,783.1325066,978.9156332,512.7662068,2790,27.51315692
300,447.0636286,17098.54677,56.94132318,22.6378424,3.900107794,9.698224882,14.28132682,0.564645137,18.41066656,2958857.371,3552049.665,2056449.806,1495599.859,0.3,0.5,0.3,0.4,1071897.31,13544.50562,1708.591514,2420.777115,746.2575736,674.7648442,1103.315073,146.5290364,608.4803376,270.3410525,66.1668298,188.8107385,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,2679.743275,764.0411441,955.0514301,517.0943038,2790,26.30932173
300,447.0636286,17242.5741,57.41758694,22.73231802,3.91436471,9.82471509,14.46013204,0.564645137,18.43841333,2983605.594,3581759.417,2450677.496,1131081.921,0.3,0.4,0.3,0.3,1077080.109,13682.64744,1729.429777,2420.777115,755.6544297,680.4087406,1185.61867,147.1135929,614.3361124,270.3410525,66.72025677,188.8191824,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,2692.700273,769.9266625,962.4083282,521.1672029,2790,26.49388917
350,447.0636286,17244.43162,49.20647172,21.04419743,3.659958633,7.713606938,11.46663645,0.65875266,18.09179205,3890377.612,4670321.262,2703870.205,1966451.058,0.1,0.4,0.3,0.4,1144287.222,13671.3662,1589.175642,2420.777115,596.30147,680.2898032,1426.18966,136.6519855,514.1671871,270.3410525,57.1787949,188.8472055,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,2860.718054,783.0654125,978.8317657,521.3681391,2790,26.56649425
350,447.0636286,17056.7798,48.67658181,20.93058137,3.642864623,7.587442924,11.2873478,0.65875266,18.05499232,3848483.289,4620027.958,2674753.028,1945274.93,0.3,0.4,0.1,0.4,1094088.802,13481.95868,1563.858548,2420.777115,586.9706962,672.963854,1411.770074,135.9465897,507.9859534,270.3410525,56.56305341,188.8315077,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,2735.222005,784.8211171,981.0263963,525.2936327,2790,26.30478355
350,447.0636286,16844.14834,48.07454914,20.80074379,3.623334861,7.447343359,11.08831907,0.65875266,18.01199118,3800885.192,4562887.385,3121975.579,1440911.806,0.3,0.3,0.3,0.3,994419.511,13253.81503,1534.663834,2420.777115,576.5630268,664.6405038,1489.211312,135.1402748,501.0206249,270.3410525,55.86348075,188.8167974,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,2486.048777,800.333311,1000.416639,542.8335038,2790,26.0169281
350,447.0636286,16379.77731,46.75896371,20.51415788,3.580246315,7.137042716,10.64663188,0.65875266,17.91616504,3696871.96,4438021.561,2569380.904,1868640.657,0.3,0.4,0.3,0.4,909990.2761,12791.46049,1473.036933,2420.777115,553.4602168,646.4520027,1359.513806,133.3597381,485.6929205,270.3410525,54.33474708,188.7880303,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,2274.97569,798.3168196,997.8960246,546.4109664,2790,25.39778773
350,447.0636286,16263.19468,46.39698082,20.43459878,3.568289227,7.052278442,10.52587271,0.65875266,17.89178907,3668252.755,4403664.772,2549490.131,1854174.641,0.1,0.5,0.1,0.4,880774.0264,12673.79801,1456.15369,2420.777115,546.0530693,641.4474455,1349.636362,132.86525,481.1635192,270.3410525,53.91411654,188.7830851,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,2201.935066,799.3966768,999.245846,549.0008311,2790,25.22573397
350,447.0636286,15652.56878,44.67130924,20.05097961,3.510664381,6.657118447,9.962646741,0.65875266,17.75593915,3531817.163,4239876.546,2454665.369,1785211.177,0.1,0.5,0.3,0.4,713231.9967,12050.47579,1376.217826,2420.777115,516.7624287,617.5893652,1302.488263,130.4797248,461.3590214,270.3410525,51.90885548,188.7439176,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,1783.079992,812.0929835,1015.116229,568.5260689,2790,24.39939342
350,447.0636286,15942.05815,45.48989377,20.23385885,3.538129044,6.845675051,10.23165675,0.65875266,17.82103315,3596536.352,4317570.651,2954127.288,1363443.363,0.1,0.4,0.3,0.3,753035.5301,12335.28116,1413.498399,2420.777115,530.7615829,628.9066114,1413.655374,131.6172024,470.7845912,270.3410525,52.86006526,188.7621097,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,1882.588825,816.776985,1020.971231,569.6234398,2790,24.78600651
350,447.0636286,15500.12705,44.24067284,19.95409872,3.496119663,6.559729695,9.823694444,0.65875266,17.72060212,3497770.052,4199003.664,2431002.121,1768001.543,0.3,0.5,0.1,0.4,671932.3704,11896.6029,1356.571209,2420.777115,509.5499378,611.6356537,1290.706873,129.8769575,456.4456477,270.3410525,51.40844833,188.730841,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,1679.830926,813.5241533,1016.905192,571.7159885,2790,24.18105747
350,447.0636286,14935.26668,42.60621312,19.58203049,3.440293035,6.193888582,9.301132515,0.65875266,17.58468543,3368545.881,4043872.607,2341189.404,1702683.203,0.3,0.5,0.3,0.4,518988.8449,11321.30645,1282.63195,2420.777115,481.1337839,589.0386423,1245.932036,127.5608445,437.4878367,270.3410525,49.50917708,188.6936673,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,1297.472112,823.9602254,1029.950282,588.6920756,2790,23.40592019
350,447.0636286,15071.13078,42.98937001,19.66988383,3.453470235,6.280613187,9.425202684,0.65875266,17.61788587,3398839.152,4080239.078,2791742.527,1288496.551,0.3,0.4,0.3,0.3,519273.493,11450.33653,1299.459965,2420.777115,487.543668,594.3359262,1340.345864,128.1079021,441.8572923,270.3410525,49.95441219,188.7013653,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,1298.183733,830.7942482,1038.49281,593.6989452,2790,23.58452777
