W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,Wbatt/MTOW,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
280,398.7697181,32312.19889,115.3133925,35.61526804,4.699676916,23.0626785,34.59401776,0.527002128,0.02398809,0.015721456,0.008266634,21.9693243,4973713.642,5970844.708,2985422.354,3142549.846,0.2,0.12,0.2,0.5,4401747.121,27776.199,5072.830757,2185.311504,1798.814696,1275.402435,1730.923852,225.9777221,1296.731207,10213.08383,0.316075172,815.9998888,1019.999861,247.8465635,3720,35.69229244,1720.984143,2200.87356,704.9499453,0.272440927,0.69492995,783.1951406
300,398.7697181,31340.00214,104.4045507,33.88878955,4.49214279,20.88091014,31.3213652,0.564645137,0.025836082,0.016346324,0.009489758,21.85490565,5425201.894,6512847.412,3256423.706,3427814.427,0.3,0.1,0.1,0.5,4261193.688,26803.33742,4631.599301,2185.311504,1628.643785,1237.228098,1877.712749,215.4939061,1175.98922,9886.966959,0.315474355,816.6647209,1020.830901,249.5175723,3720,34.88105199,1715.192322,2130.596844,694.0429088,0.270565587,0.690276033,788.4755286
330,398.7697181,30801.23463,93.27568859,32.03174323,4.269143243,18.65513772,27.98270658,0.621109651,0.028712265,0.017229657,0.011482607,21.63220688,6279421.404,7538321.013,3769160.507,3967537.375,0.1,0.1,0.2,0.5,4238611.301,26250.7319,4197.838573,2185.311504,1455.0407,1215.881604,2153.638649,204.190923,1052.81199,9834.570535,0.319291439,830.5027299,1038.128412,249.5415682,3720,34.55748262,1711.722688,2119.30565,691.058737,0.269840802,0.690209656,788.5513555
280,398.7697181,32238.75718,115.0526468,35.57497878,4.69483179,23.01052936,34.51579404,0.527002128,0.023996847,0.015730213,0.008266634,21.96130747,4962467.121,5957343.483,2978671.741,3135443.938,0.3,0.1,0.2,0.5,4381187.095,27701.87998,5060.271655,2185.311504,1794.747231,1272.518423,1727.258098,225.7333299,1293.845203,10165.37976,0.315315497,816.8772035,1021.096504,249.8078545,3720,35.61971492,1721.052183,2190.593548,703.8494177,0.272324975,0.689473917,789.3928202
290,398.7697181,32129.50472,110.7117734,34.89741404,4.613363368,22.14235467,33.21353201,0.545823633,0.024858216,0.015990564,0.008867652,21.9574744,5249111.673,6301454.59,3780872.754,2653244.038,0.1,0.1,0.2,0.4,4367475.531,27586.72577,4895.327576,2185.311504,1727.032399,1268.23927,1938.062915,221.6214267,1245.799252,10133.56572,0.315397508,822.778954,1028.473692,250.3169909,3720,35.82547639,1720.490807,2183.737766,703.1879369,0.272187644,0.68807155,791.0016911
310,398.7697181,31065.85976,100.1572705,33.19231802,4.408478323,20.03145411,30.04718116,0.583466642,0.026778812,0.016645859,0.010132953,21.78836944,5688221.479,6828597.213,3414298.607,3593998.533,0.1,0.1,0.3,0.5,4234238.063,26524.94165,4463.763585,2185.311504,1562.388949,1226.459358,1962.910059,211.2580819,1128.979184,9824.423599,0.316245025,820.9181128,1026.147641,250.7750088,3720,34.67921898,1713.770366,2117.119031,691.6457169,0.270136683,0.68681485,792.4490278
290,398.7697181,31726.53162,109.3298842,34.67893779,4.587100421,21.86597684,32.79896526,0.545823633,0.024908677,0.016041025,0.008867652,21.91299186,5183592.982,6222800.698,3111400.349,3275158.262,0.1,0.1,0.4,0.5,4308734.843,27189.34698,4828.691256,2185.311504,1705.475817,1252.408839,1799.248954,220.2948249,1230.504132,9997.273569,0.315107674,817.1846397,1021.4808,251.0613833,3720,35.18892685,1718.105542,2154.367421,698.0266717,0.271340142,0.686031431,793.3539712
280,398.7697181,32175.97034,114.8297148,35.54049609,4.690685029,22.96594295,34.44891443,0.527002128,0.024004361,0.015737728,0.008266634,21.95443229,4952851.584,5945800.221,2972900.11,3129368.537,0.3,0.12,0.1,0.5,4363590.712,27638.30056,5049.536996,2185.311504,1791.269634,1270.052655,1724.123585,225.5241503,1291.377732,10124.55203,0.314661902,817.6697802,1022.087225,251.5260429,3720,35.55760064,1721.121628,2181.795356,702.9075871,0.272227003,0.684764082,794.8222957
330,398.7697181,30723.96054,93.04279339,31.99172904,4.264341169,18.60855868,27.91283802,0.621109651,0.028723823,0.017241216,0.011482607,21.62350197,6263742.645,7519498.973,3759749.487,3957631.038,0.1,0.12,0.1,0.5,4216226.581,26172.53355,4186.388668,2185.311504,1451.407685,1212.84565,2148.593515,203.9470635,1050.234244,9782.632745,0.318404027,831.426986,1039.283732,251.703603,3720,34.47952833,1711.817926,2108.113291,689.8755865,0.269718625,0.684281027,795.3833854
290,398.7697181,32049.79639,110.4384727,34.85431393,4.608182083,22.08769454,33.13154181,0.545823633,0.024868106,0.016000454,0.008867652,21.94874137,5236153.832,6285898.958,3771539.375,2646694.298,0.1,0.12,0.1,0.4,4345084.229,27506.03609,4882.09587,2185.311504,1722.769085,1265.108435,1933.560763,221.3597491,1242.774287,10081.61266,0.314560896,823.7603015,1029.700377,252.4928996,3720,35.74584442,1720.577232,2172.542114,701.9901799,0.272062837,0.682141955,797.8775626
