n,Carico Alare,W_S_max,MTOW,S,b,c root,S_vert,S_orizz,C_L cruise,C_D,C_D_0,C_D_i,E cruise,P_curr,P tot inst,P ice inst,P em inst,Phi climb,Phi cruise,Phi descent,H_P,E batt inst,OEW,W wing,W fus,W tail,W LG,W propuls,W fuelsys,W hydr,W battery,Wfuel,V fuel,W block fuel,W payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
39,280,398.7697181,25196.64394,89.93958302,31.45370269,4.199786112,17.9879166,26.98187491,0.527002128,0.025049014,0.01678238,0.008266634,21.03883725,3879286.883,4657007.062,2794204.237,1960845.079,0.3,0.3,0.3,0.4,2351428.323,20535.56964,3874.317084,2185.311504,1402.999601,994.7538789,1458.527605,200.6668449,1015.887079,5455.86421,941.0742927,1176.342866,477.6380031,3720,28.63391674,1737.716736,1175.714161,594.7597342,0.261945308,0.360599447,1509.33609
40,300,398.7697181,25401.58205,83.55562561,30.31685804,4.063467106,16.71112512,25.06668768,0.564645137,0.026858796,0.017369038,0.009489758,21.02272689,4341823.564,5212273.186,3648591.23,1645981.006,0.3,0.2,0.3,0.3,2336126.973,20730.96278,4034.500075,2185.311504,1303.413975,990.1560504,1718.448979,193.7275958,945.2277267,5420.361496,950.619273,1188.274091,478.0506093,3720,29.16294242,1739.193578,1168.063486,599.7846341,0.262675476,0.360288214,1510.639925
41,350,398.7697181,26102.59629,74.53332167,28.63331169,3.861833386,14.90666433,22.3599965,0.65875266,0.031579952,0.018663337,0.012916615,20.85983723,5892777.023,7074162.093,4244497.256,2978594.565,0.1,0.2,0.3,0.4,2559762.882,21380.31039,3943.407431,2185.311504,1162.671841,1030.446876,2161.008937,183.4301133,845.3664473,5939.249162,1002.285896,1252.85737,481.1730171,3720,30.03500128,1744.703123,1279.881441,618.6143763,0.265408864,0.357950246,1520.506734
42,325,398.7697181,25707.19843,79.02660258,29.4837689,3.9636518,15.80532052,23.70798077,0.611698899,0.029116422,0.017979136,0.011137286,21.00872483,5103370.062,6126494.673,3675896.804,2579576.704,0.3,0.2,0.3,0.4,2440004.499,21007.71242,4008.005923,2185.311504,1232.764131,1014.526988,1887.391885,188.6352055,895.0992854,5661.381676,979.4860013,1224.357502,481.6282767,3720,29.44716105,1742.207418,1220.00225,608.9080975,0.264038538,0.357611893,1521.945354
43,300,398.7697181,25006.89917,84.21125924,30.43556886,4.077696,16.84225185,25.26337777,0.564645137,0.026819709,0.017329951,0.009489758,21.05336559,4375892.432,5253172.187,3151903.312,2211861.973,0.1,0.3,0.3,0.4,2345327.161,20327.87495,3668.481563,2185.311504,1313.641437,997.9256538,1633.27784,194.4527295,952.4844555,5441.708086,959.024216,1198.78027,483.1220061,3720,28.56888652,1737.960952,1172.66358,594.7979001,0.26197702,0.35650622,1526.665539
44,350,398.7697181,25718.62517,73.4165068,28.41797978,3.836066827,14.68330136,22.02495204,0.65875266,0.031664537,0.018747921,0.012916615,20.80411486,5804479.054,6968162.129,4180897.278,2933963.002,0.3,0.2,0.1,0.4,2466166.944,20996.94388,3855.578738,2185.311504,1145.250248,1015.006206,2130.502341,182.1111358,833.0052409,5722.084675,1001.681293,1252.101616,487.2362499,3720,29.63247444,1743.825385,1233.083472,612.5847051,0.264633138,0.353495866,1539.66655
45,300,398.7697181,25198.15641,83.57819533,30.3209523,4.063957828,16.71563907,25.0734586,0.564645137,0.026857441,0.017367683,0.009489758,21.02378737,4342996.36,5213681.105,3128208.663,2195234.149,0.3,0.3,0.1,0.4,2284351.087,20515.7327,4035.192956,2185.311504,1303.766048,990.4235134,1621.736492,193.7526073,945.4775344,5300.229319,962.4237054,1203.029632,489.42129,3720,28.7459777,1740.967094,1142.175543,597.3331991,0.262599344,0.35191767,1546.571276
46,325,398.7697181,25928.73109,79.7329568,29.61524143,3.979399152,15.94659136,23.91988704,0.611698899,0.029069632,0.017932346,0.011137286,21.04254047,5148984.917,6181254.402,4326878.082,1951975.074,0.1,0.2,0.3,0.3,2437992.917,21216.26282,4060.547218,2185.311504,1243.782802,1023.595223,2018.522461,189.4392686,902.9174033,5656.714336,992.4682726,1240.585341,490.5120338,3720,29.9051827,1746.11955,1218.996459,611.3913433,0.264756762,0.351135116,1550.018027
47,350,398.7697181,26214.12721,74.85008603,28.69409253,3.869107416,14.97001721,22.45502581,0.65875266,0.031556381,0.018639766,0.012916615,20.87541847,5917821.147,7104227.068,4972958.947,2243440.127,0.1,0.2,0.1,0.3,2525247.815,21479.08844,3967.497118,2185.311504,1167.613161,1034.826346,2302.207342,183.8023364,848.8724802,5859.166127,1015.038765,1268.798456,491.7226996,3720,30.41162139,1748.342367,1262.623908,619.2552,0.265889531,0.35027059,1553.843731
48,325,398.7697181,25049.972,77.01983245,29.10701216,3.918535593,15.40396649,23.10594973,0.611698899,0.029253616,0.01811633,0.011137286,20.9101982,4973777.112,5970920.902,3582552.541,2514071.959,0.1,0.3,0.1,0.4,2275365.695,20345.42192,3856.785094,2185.311504,1201.459808,988.7639245,1842.271995,186.3301505,872.8878154,5279.381106,984.5500734,1230.687592,497.2396276,3720,28.75499644,1742.130186,1137.682847,598.5449595,0.262866048,0.346384299,1571.277223
49,280,398.7697181,24004.04093,85.64532902,30.69362506,4.10863181,17.1290658,25.69359871,0.527002128,0.025283955,0.017017321,0.008266634,20.84334217,3694066.509,4434653.672,2660792.203,1867222.599,0.1,0.4,0.3,0.4,2016854.405,19324.43571,3676.661642,2185.311504,1336.012003,947.2573705,1393.046278,196.0286128,968.3571244,4679.574392,959.6052188,1199.506524,514.05159,3720,27.37413691,1739.761453,1008.427202,575.9149201,0.260058598,0.335055865,1624.403025
